"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"17","US20, 2 Mi W of Santiam Pass Summit, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/hp3eQ1ut5t",FALSE,0,NA,2015-09-03 20:55:28,FALSE,NA,"639542246736465920",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"18","US20, from Santiam Pass Summit to 1 Mi E of Santiam Pass Summit, Delay &lt; 20min, Road maint ops are occurring, use... http://t.co/GncOf3DHjr",FALSE,0,NA,2015-09-02 15:51:28,FALSE,NA,"639103357039185920",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"19","US20, 7 Mi W of Tombstone SnoPark Area, Delay &lt; 20min, Sheep Creek Bridge repairs and construction starting. Inte... http://t.co/BOWaur52eD",FALSE,0,NA,2015-08-31 20:15:29,FALSE,NA,"638445020970811392",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"20","US20, 2 Mi W of Santiam Pass Summit, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/ImZchuwgT0",FALSE,0,NA,2015-08-31 02:27:33,FALSE,NA,"638176267955601408",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"21","US20, 2 Mi W of Santiam Pass Summit, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/TwyC1IkLbB",FALSE,0,NA,2015-08-30 21:37:28,FALSE,NA,"638103265830289408",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"22","US20, 3 Mi E of Santiam Pass Summit, Unconfirmed, A DISABLED veh IS CAUSING A HAZARD, USE CAUTION... http://t.co/9XvRjaHjmN",FALSE,0,NA,2015-08-30 20:49:33,FALSE,NA,"638091205247561728",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"23","US20, 1 Mi W of Santiam Pass Summit, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/UfXKWIgYlK",FALSE,0,NA,2015-08-30 19:05:29,FALSE,NA,"638065015539412992",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"24","US20, 1 Mi E of Santiam Pass Summit, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/TN9VmvD4St",FALSE,0,NA,2015-08-30 17:33:28,FALSE,NA,"638041860070490113",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"25","US20, Santiam Pass Summit, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/TN9VmvD4St",FALSE,1,NA,2015-08-30 17:15:29,FALSE,NA,"638037333120421888",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"26","US20, from 2 Mi E of Santiam Pass Summit to 2 Mi E of Santiam Pass Summit, Delay &lt; 20min, Road maint ops are occu... http://t.co/svc7grNdGE",FALSE,1,NA,2015-08-26 16:21:27,FALSE,NA,"636574187243507712",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"27","US20, from 2 Mi W of Santiam Pass Summit to 1 Mi W of Santiam Pass Summit, Delay &lt; 20min, Rock fall has occurred,... http://t.co/9odaGbuAVY",FALSE,0,NA,2015-08-26 13:49:34,FALSE,NA,"636535962906947584",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"28","US20, 3 Mi W of Santiam Pass Summit, Delay &gt;2hrs, Hazardous tree or vegetation, use an alternate route.... http://t.co/14F0Idm4gG",FALSE,0,NA,2015-08-26 00:47:30,FALSE,NA,"636339148991787008",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"29","US20, Sweet Home, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/U7Wo6HQEJO",FALSE,0,NA,2015-08-25 16:09:46,FALSE,NA,"636208857522376704",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"30","US20, from 3 Mi W of Santiam Pass Summit to 1 Mi W of Santiam Pass Summit, Delay &lt; 20min, Road maint ops are occu... http://t.co/EIYP7qTfNX",FALSE,0,NA,2015-08-24 15:05:47,FALSE,NA,"635830368604520448",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"31","US20, Tumalo, Unconfirmed, An unconfirmed report of an animal struck has been received, use caution.... http://t.co/xVyM53MJ5u",FALSE,0,NA,2015-08-22 20:33:46,FALSE,NA,"635188133462540288",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"32","US20, Tumalo, Unconfirmed, An unconfirmed report of an animal struck creating a hazard has been received, use cau... http://t.co/xVyM53MJ5u",FALSE,0,NA,2015-08-22 19:27:46,FALSE,NA,"635171523557376000",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"33","US20, 1 Mi N of Tumalo, Unconfirmed, An unconfirmed report of an animal struck creating a hazard has been receive... http://t.co/xVyM53MJ5u",FALSE,0,NA,2015-08-22 19:15:47,FALSE,NA,"635168505143267328",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"34","US20, 1 Mi N of Tumalo, Unconfirmed, An unconfirmed report of hazardous debris has been received, use caution.... http://t.co/xVyM53MJ5u",FALSE,0,NA,2015-08-22 19:01:48,FALSE,NA,"635164987489521664",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"35","US20, 2 Mi W of @ Sodaville-Waterloo Drive, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/5RBI1bovHf",FALSE,0,NA,2015-08-20 10:23:47,FALSE,NA,"634309846943174656",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"36","US20, Sweet Home, Delay &lt; 20min, A fire in the area, use caution.... http://t.co/RT4CNQG3gT",FALSE,0,NA,2015-08-19 02:21:56,FALSE,NA,"633826197781110784",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"37","US20, @ Hwy I-5, Delay 20min-2hrs, Road maint ops are occurring, expect delays.... http://t.co/q823nqhqDr",FALSE,0,NA,2015-08-14 08:39:52,FALSE,NA,"632109371770585088",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"38","US20, Lebanon, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/4Tjf1MfzVF",FALSE,0,NA,2015-08-13 21:59:46,FALSE,NA,"631948283544338433",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"39","US20, from 2 Mi E of Santiam Pass Summit to 3 Mi E of Santiam Pass Summit, Delay &lt; 20min, Road maint ops are occu... http://t.co/0LdPJ9LxF8",FALSE,0,NA,2015-08-13 15:25:47,FALSE,NA,"631849132672446466",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"40","US20, @ Clear Lake - Belnap Springs Hwy OR126, Delay &lt; 20min, Road maint ops are occurring, use caution.... http://t.co/MU4k0Sghsj",FALSE,1,NA,2015-08-12 15:39:46,FALSE,NA,"631490267279851520",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"41","US20, from @ Clear Lake - Belnap Springs Hwy OR126 to 8 Mi W of Santiam Pass Summit, Delay &lt; 20min, Road maint op... http://t.co/iUE69ZUgiI",FALSE,1,NA,2015-08-10 14:55:30,FALSE,NA,"630754351884075008",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"42","US20, 5 Mi E of Cascadia State Park, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/NdFIurx3hD",FALSE,0,NA,2015-08-08 22:45:33,FALSE,NA,"630147868058226688",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"43","US20, 5 Mi E of @ Suttle Lake Loop, Delay 20min-2hrs, A crash has occurred, use caution.... http://t.co/HTQNasHxB7",FALSE,0,NA,2015-08-07 04:13:45,FALSE,NA,"629505686028685312",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"44","US20, from 3 Mi W of Sisters to 1 Mi W of Sisters, Delay &lt; 20min, Road maint ops are occurring, use caution.... http://t.co/SVXm8ZmeqM",FALSE,0,NA,2015-08-07 00:37:45,FALSE,NA,"629451326347317248",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"45","US20, from @ Clear Lake - Belnap Springs Hwy OR126 to @ Clear Lake - Belnap Springs Hwy OR126, Delay &lt; 20min, Roa... http://t.co/Fb6PDFG7ti",FALSE,0,NA,2015-08-06 15:55:45,FALSE,NA,"629319958892118016",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"46","US20, from 4 Mi E of @ Suttle Lake Loop to 2 Mi W of Sisters, Delay &lt; 20min, Road maint ops are occurring, use ca... http://t.co/4XY8UB7wh5",FALSE,0,NA,2015-08-06 01:09:30,FALSE,NA,"629096929041911809",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"47","US20, from 4 Mi E of @ Suttle Lake Loop to 6 Mi W of Sisters, Delay &lt; 20min, Road maint ops are occurring, use ca... http://t.co/L5kj9ngvCu",FALSE,0,NA,2015-08-05 02:21:30,FALSE,NA,"628752659609038848",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"48","US97, Bend, Unconfirmed, An unconfirmed report of hazardous debris has been received, use caution.... http://t.co/kKeAj34hnL",FALSE,0,NA,2015-08-05 00:51:30,FALSE,NA,"628730009058832384",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"49","US20, from 3 Mi E of @ Suttle Lake Loop to 4 Mi E of @ Suttle Lake Loop, Delay &lt; 20min, Road maint ops are occurr... http://t.co/MCvFS2M1fv",FALSE,0,NA,2015-08-04 00:31:55,FALSE,NA,"628362696199573508",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"50","US20, Tumalo, Unconfirmed, An unconfirmed report of sand across the road has been received, use caution.... http://t.co/em4uNXPz8n",FALSE,0,NA,2015-08-03 17:33:57,FALSE,NA,"628257511129247744",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"51","US97, Bend, Closed, A fire in the area, use an alternate route.... http://t.co/qxuc73SuLB",FALSE,0,NA,2015-07-31 05:57:51,FALSE,NA,"626995166360920064",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"52","US20, from 3 Mi S of Sisters to 3 Mi N of @ Cloverdale Road, Delay &lt; 20min, Road maint ops are occurring, use cau... http://t.co/MRm4uwxxwG",FALSE,0,NA,2015-07-31 01:13:51,FALSE,NA,"626923698113544192",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"53","US20, 1 Mi W of Santiam Pass Summit, Unconfirmed, An unconfirmed report of a disabled veh, creating a hazard, has... http://t.co/jNIBKhWpN3",FALSE,0,NA,2015-07-30 22:17:51,FALSE,NA,"626879406284247040",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"54","US20, @ Clear Lake - Belnap Springs Hwy OR126, Delay &lt; 20min, A disabled veh is creating a hazard, use caution.... http://t.co/3uwKoIP6eH",FALSE,0,NA,2015-07-30 20:07:53,FALSE,NA,"626846696589258753",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"55","US20, from @ Cloverdale Road to 1 Mi S of @ Cloverdale Road, Delay &lt; 20min, Road maint ops are occurring, use cau... http://t.co/vQ7OguiuCW",FALSE,0,NA,2015-07-30 01:19:15,FALSE,NA,"626562665733754880",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"56","US20, 2 Mi W of Santiam Pass Summit, Delay &lt; 20min, A disabled veh is creating a hazard, use caution.... http://t.co/NbhSCKFFcb",FALSE,0,NA,2015-07-29 16:43:14,FALSE,NA,"626432806839652352",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"57","US20, from @ Cloverdale Road to 2 Mi S of @ Cloverdale Road, Delay &lt; 20min, Road maint ops are occurring, use cau... http://t.co/pcJocvm6Oj",FALSE,0,NA,2015-07-29 01:59:20,FALSE,NA,"626210366167519232",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"58","US20, from 1 Mi S of @ Cloverdale Road to 2 Mi S of @ Cloverdale Road, Delay &lt; 20min, Road maint ops are occurrin... http://t.co/Sn06XB1xeS",FALSE,0,NA,2015-07-28 02:23:15,FALSE,NA,"625853998445101056",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"59","US20, 2 Mi W of @ Suttle Lake Loop, Unconfirmed, An unconfirmed report of hazardous debris has been received, use... http://t.co/g7qe5wWSuo",FALSE,0,NA,2015-07-24 19:47:29,FALSE,NA,"624667237090103296",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"60","US20, 2 Mi S of @ Cloverdale Road, Unconfirmed, An unconfirmed report of hazardous debris has been received, use ... http://t.co/kMQMthOnzr",FALSE,0,NA,2015-07-22 22:54:42,FALSE,NA,"623989574109282304",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"61","US20, 2 Mi W of Santiam Pass Summit, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/gixNwG5zBv",FALSE,0,NA,2015-07-21 20:52:42,FALSE,NA,"623596483372187648",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
